Model,Context Length,With Message,Concern Count,Accuracy,F1,Precision,Recall,Inference Time
microsoft_phi-4,4096,No,2,0.23,0.6,0.64,0.59,6.9893245178720225
microsoft_phi-4,4096,No,3,0.0,0.55,0.66,0.51,10.277289073678512
microsoft_phi-4,4096,Yes,1,0.39,0.71,0.63,0.87,5.2477232909971665
microsoft_phi-4,4096,Yes,2,0.32,0.65,0.67,0.66,6.861851315567459
microsoft_phi-4,4096,Yes,3,0.0,0.55,0.6,0.54,9.934017516389678
microsoft_phi-4,8192,No,1,0.34,0.6,0.54,0.74,6.220077103184115
microsoft_phi-4,8192,No,2,0.25,0.64,0.69,0.63,8.493966997533605
microsoft_phi-4,8192,No,3,0.0,0.57,0.68,0.51,12.839690887475316
microsoft_phi-4,8192,Yes,1,0.39,0.71,0.63,0.87,6.011830226067574
microsoft_phi-4,8192,Yes,2,0.33,0.65,0.66,0.67,8.352227857147438
microsoft_phi-4,8192,Yes,3,0.0,0.55,0.61,0.53,12.56373147723041
microsoft_phi-4,12288,No,1,0.34,0.6,0.54,0.74,6.202273322689917
microsoft_phi-4,12288,No,2,0.25,0.63,0.67,0.62,9.547061899433965
microsoft_phi-4,12288,No,3,0.0,0.56,0.68,0.5,14.009010885335222
microsoft_phi-4,12288,Yes,1,0.39,0.71,0.63,0.87,6.27697152860703
microsoft_phi-4,12288,Yes,2,0.33,0.65,0.67,0.66,9.771585944770038
microsoft_phi-4,12288,Yes,3,0.0,0.55,0.62,0.52,14.29616127436674
qwen_qwen3-14b_One_shot,1024,No,1,0.32,0.52,0.47,0.63,3.3544113136106923
qwen_qwen3-14b_One_shot,1024,No,2,0.45,0.68,0.67,0.69,4.350148477416107
qwen_qwen3-14b_One_shot,1024,No,3,0.14,0.65,0.71,0.6,5.301303232772441
qwen_qwen3-14b_One_shot,1024,Yes,1,0.34,0.61,0.54,0.76,3.5585368833234234
qwen_qwen3-14b_One_shot,1024,Yes,2,0.42,0.7,0.69,0.72,4.658747282581053
qwen_qwen3-14b_One_shot,1024,Yes,3,0.23,0.71,0.74,0.69,5.67920731592782
qwen_qwen3-14b_One_shot,2048,No,1,0.32,0.53,0.48,0.63,3.870053429757395
qwen_qwen3-14b_One_shot,2048,No,2,0.38,0.66,0.66,0.66,5.078442687573641
qwen_qwen3-14b_One_shot,2048,No,3,0.15,0.65,0.73,0.6,6.921515410459494
qwen_qwen3-14b_One_shot,2048,Yes,1,0.4,0.64,0.58,0.76,4.321212733945539
qwen_qwen3-14b_One_shot,2048,Yes,2,0.35,0.66,0.65,0.67,5.865477848744047
qwen_qwen3-14b_One_shot,2048,Yes,3,0.22,0.7,0.73,0.69,7.981286284289783
qwen_qwen3-14b_One_shot,4096,No,1,0.32,0.53,0.48,0.63,4.826927342722493
qwen_qwen3-14b_One_shot,4096,No,2,0.36,0.65,0.66,0.65,6.182310183842977
qwen_qwen3-14b_One_shot,4096,No,3,0.16,0.65,0.73,0.6,8.957075785986985
qwen_qwen3-14b_One_shot,4096,Yes,1,0.39,0.63,0.57,0.76,5.410847544670105
qwen_qwen3-14b_One_shot,4096,Yes,2,0.36,0.67,0.66,0.69,7.126024750695712
qwen_qwen3-14b_One_shot,4096,Yes,3,0.27,0.73,0.76,0.73,10.230498407460466
qwen_qwen3-14b_One_shot,8192,No,1,0.32,0.53,0.48,0.63,5.477937525318515
qwen_qwen3-14b_One_shot,8192,No,2,0.32,0.64,0.64,0.65,7.414065495781276
qwen_qwen3-14b_One_shot,8192,No,3,0.18,0.67,0.75,0.63,11.091830507109437
qwen_qwen3-14b_One_shot,8192,Yes,1,0.35,0.62,0.56,0.76,6.179383262511222
qwen_qwen3-14b_One_shot,8192,Yes,2,0.36,0.66,0.66,0.68,8.522406557331914
qwen_qwen3-14b_One_shot,8192,Yes,3,0.25,0.72,0.75,0.72,12.743446087535423
qwen_qwen3-14b_One_shot,12288,No,1,0.32,0.53,0.48,0.63,5.530156231695606
qwen_qwen3-14b_One_shot,12288,No,2,0.3,0.63,0.62,0.65,8.369545000186864
qwen_qwen3-14b_One_shot,12288,No,3,0.16,0.67,0.74,0.62,12.181252165685725
qwen_qwen3-14b_One_shot,12288,Yes,1,0.35,0.62,0.56,0.76,6.25331433357731
qwen_qwen3-14b_One_shot,12288,Yes,2,0.35,0.66,0.65,0.68,9.515077470005423
qwen_qwen3-14b_One_shot,12288,Yes,3,0.25,0.72,0.75,0.72,13.860106610044648
qwen_qwen3-14b_Two_shot,1024,No,1,0.37,0.54,0.5,0.63,3.1578909081797444
